S.N,Ward No.,Case No.,Brief Description of the grievance,Date of Grievance,Department,Status
23,Ward 4,34162,का म. पा  वडा न ४ लाम्टाङ्गइन मार्ग मा ३ वर्ष देखि पिच भएको सडक पून पिच गर्नी भनेर भत्काएको तर पून निर्माण नगरेको हुदा सर्बसाधारण लाई समस्या आएको हुदा समस्याको समाधान छिटो भन्दा छिटो गर्दिन माग |,05/11/2025,सार्वजनिक निर्माण विभाग,open
24,Ward 26,34161,"यस काठमाडौं महानगरपालिकाको वडा नम्बर २६, सामाखुसी स्थित गोङ्गबु देखि ठमेल जाने बाटोको आत्मा ग्यान प्रचार सङ्घ बाट रेडन कलेज जाने बाटो को ५० मीटर तिर ढलको ढकन बिग्रिएको छ जसका कारण सवारी साधन गुड्दा थर्किने र घर हल्लिने समस्या देखिन्छ साथै दुर्घटना हुने सम्भावनासमेत देखिन्छ। कृपया मरम्मत गरिदिनुहुन हार्दिक अनुरोध गर्दछौं। धन्यवाद।",05/11/2025,सार्वजनिक निर्माण विभाग,open
25,Ward 26,34156,"का.म.पा .वडा न २६सामाखुसी गोंगबु चोक बाट ठमेल आउने बाटो अवास मार्ग सडक केहि दिन देखि भत्काएर यतिकै छोडेको भएर धुलो उड्ने,र पानी परेको बेला हिलो हुने समस्या भएको हुदा निरिक्षेन् गरि समस्या समाधान गरिदिनु होला | ",05/09/2025,सार्वजनिक निर्माण विभाग,open
26,Ward 7,34148,का.म.पा.७ नं.वडा कालोपुल देखि पहेलोपुलको बिगमार्ट वेयर हाउस अगााडि  पिच बाटोमा धेरै दिन देखि ढलको  पाईप राखि दिएको हुँदा आवत जावत गर्न समस्या भएको  भनि गुनासो आएको ।,05/08/2025,सार्वजनिक निर्माण विभाग,open
27,Ward 9,34124,रातोपुलबाट गौशाला जाने main बाटोमा बन्दै गरेको सडक पेटीको आधा काम मात्र सकिएको र लामो समय देखि रोकिएको छ । Hams School नजिक बनिरहेको एउटा घरको कारणले रोकिएको हो भनी सुनिन आएको छ । तुरुन्तै अनुगमन गरि निर्माण प्रकृया अगाडी बढाउनुपर्यो ।,05/05/2025,सार्वजनिक निर्माण विभाग,open
28,Ward 32,34116," ३२ वडा स्थित Khahare kholsi ko badi ayera planning block 4, 1, 3, 6 ma duban bhayo last year- 2081
pls send technicians to solve before monsoon 2082",05/05/2025,सार्वजनिक निर्माण विभाग,open
29,Ward 16,34112,का.म.पा.१६र २६ को बिचमा सगरमाथा चोक नजिक नवदेबि स्कुल अघआडीको  बाटोमा खाल्डा खुल्डि भई आवत जावत गर्न  गारो भयो भनि गुनासो आएको ।,05/04/2025,सार्वजनिक निर्माण विभाग,open
31,Ward 31,34098,शान्तिनगरबाट सिभिल हस्पिटल जाने बाटोमा विगत धेरै दिनदेखि फुटपाथ नबनेको हुनाले सर्वसाधरणलाई हिडडुल गर्न गाह्रो भएको भनि गुनासो आएको ।,05/01/2025,सार्वजनिक निर्माण विभाग,open
32,Ward 32,34097,कोटेश्वरबाट तिनकुने जाने बाटोमा विगत ३ महिनादेखि फुटपाथ भत्काएर छोडेको हुनाले सर्वसाधरणलाई हिड डुल गर्न गाह्रो भएको भनि गुनासो आएको ।,05/01/2025,सार्वजनिक निर्माण विभाग,open
35,Ward 7,34075,वडा नं. ७ चावहिल पिपलबोट बाट सेन्ट लरेन्स कलेज हुँदै गौरिघाट जाने बाटोमा विचमा वाटो खनेर विगत ३ महिना देखि खाल्डो खनेर छोडेकोले दुर्घटना धेरै हुने गरेनो भन्दै गुनासो आएको ।,04/26/2025,सार्वजनिक निर्माण विभाग,open
36,Ward 7,34070,कामपा ७ वडा कुमारीगाल पशुपतिबाट बौद्ध स्तुपा निस्कने बाटोको फुटपाथ बनाउने भनेर भत्काएर छोडेको धेरै दिन भयो । जसले गर्दा आवतजावत गर्न कठिनाई हुनुका साथै धुलो उडेर हैरान भइयो । छिटो बनाइदिनुपर्यो ।,04/25/2025,सार्वजनिक निर्माण विभाग,open
38,Ward 14,34057,कुलेश्वर पुल नजिक विष्णुमती खोला छेउमा रहेको सार्वजनिक शौचालय साह्रै नै फोहोर भएको छ । सफा गरिदिनुपर्यो ।,04/23/2025,सार्वजनिक निर्माण विभाग,open
39,Ward 2,34041,गैह्रीधारा पिपलवोट वाट  निल सरस्वती स्थानमा पिचगरेको वेला ढल वन्द गरेर गएछ हाल वाढी आएको वेला ढल जाम भएर सडक मा फैलीएकोछ तु सुनुवाई गरीदीनुहोला ,04/21/2025,सार्वजनिक निर्माण विभाग,open
41,Ward 12,32979,भन्सार विभाग नजिक जयन्ती आयर स्टोर्स अगाडी सडक पेटीमा ठूलो खाल्डो छ । तुरुन्तै पुरिदिनुपर्यो ।,04/09/2025,सार्वजनिक निर्माण विभाग,open
42,Ward 26,32974,"I am a resident of Balaju, Ganga hall and kindly request the installation of a zebra crossing near Balaju Ganga hall (Garden mart now)as there is not any zebra cross in that area from Balaju chowk to machapokhari. The area has high pedestrian traffic, especially school children as it is school area, there are four school in our locality, making road crossing unsafe also to old age.Several near-miss incidents have already occurred. 
Thank you for your attention
",04/09/2025,सार्वजनिक निर्माण विभाग,open
43,Ward 22,32966,"""काठमाडौं मलको अगाडि रहेको फुटपाथ एक वर्षदेखि जीर्ण अवस्थामा छ। धुलोले भरिएको, बाहिर निस्किएका stones का कारण यात्रा गर्ने जोखिम बढेको छ। मनसुनमा यो सबै चिप्लो हुनेछ र नयाँ चोटको जोखिम हुनेछ। कृपया त्यहाँ जानुहोस् र भिडियो रेकर्ड गर्नुहोस्। ढिलाइका लागि ठेकेदारलाई लाजित बनाउन आवश्यक छ। यो ३०० मिटरभन्दा कम छ। उनीहरूले पुराना हेक्सागोन ग्रे ईंटहरू हटाएका छन् र नयाँ राखेका छैनन्। पुलदेखि नयाँ सडक गेटसम्मको भागमा पनि पुराना ग्रे हेक्सागोनल ईंटहरू छन् जसमा खाल्टाहरू छन् र पानी जम्मा हुन्छ।

धनीहरूले कहिल्यै यो खण्डमा हिँड्दैनन्। सामान्य कामकाजी वर्गले हरेक दिन सार्वजनिक यातायात प्रयोग गर्छ, जुन गुणस्तरमा कम छ र फुटपाथले पनि तनाव थप्छ। सबैभन्दा व्यस्त सार्वजनिक यातायात केन्द्रको अवस्था दयनीय छ।""",04/08/2025,सार्वजनिक निर्माण विभाग,open
44,Ward 24,32965,"""काठमाडौं मलको अगाडि रहेको फुटपाथ एक वर्षदेखि जीर्ण अवस्थामा छ। धुलोले भरिएको, बाहिर निस्किएका stones का कारण यात्रा गर्ने जोखिम बढेको छ। मनसुनमा यो सबै चिप्लो हुनेछ र नयाँ चोटको जोखिम हुनेछ। कृपया त्यहाँ जानुहोस् र भिडियो रेकर्ड गर्नुहोस्। ढिलाइका लागि ठेकेदारलाई लाजित बनाउन आवश्यक छ। यो ३०० मिटरभन्दा कम छ। उनीहरूले पुराना हेक्सागोन ग्रे ईंटहरू हटाएका छन् र नयाँ राखेका छैनन्। पुलदेखि नयाँ सडक गेटसम्मको भागमा पनि पुराना ग्रे हेक्सागोनल ईंटहरू छन् जसमा खाल्टाहरू छन् र पानी जम्मा हुन्छ।

धनीहरूले कहिल्यै यो खण्डमा हिँड्दैनन्। सामान्य कामकाजी वर्गले हरेक दिन सार्वजनिक यातायात प्रयोग गर्छ, जुन गुणस्तरमा कम छ र फुटपाथले पनि तनाव थप्छ। सबैभन्दा व्यस्त सार्वजनिक यातायात केन्द्रको अवस्था दयनीय छ।""",04/08/2025,सार्वजनिक निर्माण विभाग,open
45,Ward 31,32961,"Previous igp moti lal bohara has built wall covering road.
Ward no 31, sahetan marga",04/08/2025,सार्वजनिक निर्माण विभाग,open
46,Ward 16,32912,वडा नं. १६ मैती मन्दिर जाने बाटो पारिजात मार्गको बाटोमा धुलो उडेर हिड्न कठिन भयो भन्दै गुनासो आएको ।,04/01/2025,सार्वजनिक निर्माण विभाग,open
47,Ward 13,32910,वडा नं. १३ कालिमाटी तरकारी बजारवाट टंकेश्वर जाने बाटो तिर सडकको फुटपाथ नबनाएको भनि गुनासो आएको ।,04/01/2025,सार्वजनिक निर्माण विभाग,open
48,Ward 13,32900,वडा नं. १३ संघर्ष गल्ली नजिकै हर्टलाइन एकेडेमी नजिकै रहेको बाटोको नालीहरु फोहोर भएको र बनाउदा नपुरेको भनि गुनासो आएको ।,03/31/2025,सार्वजनिक निर्माण विभाग,open
49,Ward 7,32898,"I am a student from the Sifal/Chabahil area and I'm greatly inspired by your efforts for the betterment of the Kathmandu metropolis.  There is a pathway behind the Bhandarkhal jungle in the gaushala area. You can go to it from the Sifal ground or from the edge of the Gaushala entry. I've noticed that the road there isn't in a good condition and that it'd make  walking distance shorter to the Gaushala Area. Additionally I've seen some sketchy people in the area when I walk there. So I request you to please give this a little bit of your precious time.
Sincerely,
A Kid who cares.",03/31/2025,सार्वजनिक निर्माण विभाग,open
50,Ward 11,32887,"Hello,

The Prasuti Griha Marga was damaged due to Melamchi water leak four weeks ago. The road was not fixed properly. The pot hole this created is damaging cars, and causing traffic jams for the patients to Norvic and Prsauti Griha. Please fix the road and black top it as soon as possible.",03/28/2025,सार्वजनिक निर्माण विभाग,open
53,Ward 7,32842,वडा नं. ७ गौरीघाटबाट गुजेश्वरी जाने कोरिडोर तर्फ रहेको फुटपाथमा महानगरपालिकाले बिच्छाएको ब्लकहरु उक्किएर हिड्दा खुट्टा अल्झिने गरेको भन्दै गुनासो आएको । ,03/23/2025,सार्वजनिक निर्माण विभाग,open
54,Ward 22,32835,आर एन एसी अगाडीको फुटपाथ विग्रिएको धेरै भयो । ढल पनि फुटेर बगिरहेको छ । तुरुन्तै बनाउनु पर्यो ।,03/22/2025,सार्वजनिक निर्माण विभाग,open
55,Ward 4,32827,खरिद नियमावलीको दफा ११७ अनुसार ९० प्रदिशत भन्दा वढी भौतिक प्रगती भएको कामको कार्य सम्पन्न प्रतिवेदन प्रमाण  पत्र पाउने नियम छ तर मेरो कम्पनीले ९३ प्रतिशत काम सम्पन्न गर्दा खेरी पनि प्रमाण पत्र मलाई दिनु भएन यसमा उचित सुनुवाइ गरि कारवाही गरिदिनु हुन अनुरोध छ । ,03/21/2025,सार्वजनिक निर्माण विभाग,open
56,Ward 16,32821,"शोभा भगवतीबाट बालाजु तर्फ जांदा र ईन्द्रायनीबाट बालाजु तर्फा जांदा बिचमा एउटा पुल आउँछ जहाँ संधै जाम हुने गर्दछ। त्यो जाम हुनुको मुख्य कारण-

१. पुलको दुबै तर्फ खाल्डाखुल्डी जसको कारण गाडी/ बाईक खाल्डाखुल्डी छल्न सो नभएको लेनमा जांदा जाम तुरुन्तै बढ्छ।

२. बाईक बाहेक सानो कार पनि पुल माथी जानू परे एउटा Radius मा टर्न गर्नु पर्ने हुन्छ। ठूलो गाडी भए झनै ठूलो Radius मा टर्न लिनु पर्ने हुन्छ। यदि पुलको दुबै मुखको डिजाईनमा सानो परिवर्तन गर्दै मुख ठूलो पार्न सकिए गाडीहरुले टर्न गर्दा लिनु पर्ने Radius थोरै लिए पुग्ने र सो को कारण जाम पनि कम हुन सक्नेछ। ",03/21/2025,सार्वजनिक निर्माण विभाग,open
57,NoWard,32809,सार्वजनिक शौचालय निशुल्क भनिएकोमा धरहरा नजिक रहेको सार्वजनिक शौचालय जाँदा त्यहाँ शुल्क लिनुभयो र असभ्य मानिसहरु को जमात पनि देखिएकोले महिलाहरु जाने वातावरण पनि छैन । सिघ्र अनुगमन गरि आवश्यक कारवाही गर्नुपर्यो ।,03/20/2025,"वातावरण विभाग,सार्वजनिक निर्माण विभाग",open
58,Ward 29,32798,वडा नं. २९ स्थित घट्टेकुलोबाट मैतिदेवी निस्कने नमुना नगर टोल सुधार समितिको गेट नजिकैको बाटोको विचमा विगत महिनौ देखि ढलको मंगल नलगाएको हुनाले बाटोमा मोटरसाइकलहरु खाल्डोमा परेर दुर्घटना हुने गरेको भन्दै सिघ्र बनाउनु पर्यो भन्दै गुनासो आएको ।,03/19/2025,सार्वजनिक निर्माण विभाग,open
59,Ward 22,32792,सुन्धाराको बस लाग्ने बाटोको आर एन ए सी लाइनमा फुटपाथ नबनाए्र बृद्धाहरुलाई हिडडुल गर्न गाह्रो भयो भनि गुनासो आएको । सिघ्र बनाउनु भनि गुनासो आएको ।,03/18/2025,सार्वजनिक निर्माण विभाग,open
60,Ward 11,32789,बबरमहल विषेश अदालतको अगाडी फुटपाथ भत्काएर महिनौ अलपत्र छोडेको छ । धेरै असुविधा भयो तुरुन्तै अनुगमन गर्नु भनि गुनासो आएको ।,03/18/2025,सार्वजनिक निर्माण विभाग,open
61,Ward 16,32787,चमती र नयाबजार जोडने बिष्णुमति नदि माथी को नया पुल को बाटो बिगृएर सडक दुर्धटना हुने गरेको र त्यसको कारण बाटो हिन्ने यात्रा गर्ने लाई असहजता भएको ले तु action मा आउनु होला । ,03/18/2025,सार्वजनिक निर्माण विभाग,open
62,Ward 15,32778,"Dear Mam/ Sir,

This is regarding Ward No. 15 - Dallu - road construction 
	•	The road behind Modern Nepal Academy School, Dallu, was dug up and was supposed to be pitched in Phalgun.
	•	However, it has not been pitched yet, and there has been no initiation.
	•	The dug up road goes below our house gate and exit making it risky for us to pass and take out bikes every day.
	•	We have had to repair our bikes multiple times because we have fallen multiple times.

Please let us know when it will be pitched, and kindly expedite the process.

Thank you.",03/17/2025,सार्वजनिक निर्माण विभाग,open
63,Ward 11,32776,The Prashuti Griha Marga road was damaged because of Melamchi water leak last week. This road is still not repaired and black topped. This is a heavily trafficked road because of Norvic Hospital and Prashupati Griha. This road damage is creating traffic jams affecting patients and pregnant women. This road problem can also damage cars of the KMC residents. Please fix and black top this road as soon as possible.,03/17/2025,सार्वजनिक निर्माण विभाग,open
64,Ward 3,32757,"Respected Sir ,
  Hamro woda no 3 , Basundhara chowki ma raheko Nirmala niwas Ghar KO ring road expansion project ma 3 mahina agadi dhal KO pipe futeko thiyo Tara ahile samma Naya dhal KO pipe connection gareko chaina. Ra hamri aagadhi dhal KO Pani jamma bhayera hami lai dherai garo bhako cha. Kripaya yeslai chodo Banda chado Dyan jawos",03/12/2025,"वातावरण विभाग,सार्वजनिक निर्माण विभाग",open
65,Ward 4,32745,"कामपा ४ वडा टुसाल, उल्लास मार्ग महर्जन नर्सरी अगाडी बाटो पिच गर्ने भनी खनेर छोडेको ३/४ महिना भइसक्यो । धुलो उडेर बसी नसक्नु भएको छ । तुरुन्तै पिच गरिदिनुपर्यो ।",03/10/2025,सार्वजनिक निर्माण विभाग,open
