S.N,Ward No.,Case No.,Brief Description of the grievance,Date of Grievance,Department,Status
180,Ward 31,32870,वडा नं. ३१ शान्तिनगर फुटशल अगाडी गारमेन्ट रहेको र त्यहाँबाट दिनहुँ जसो चर्को आवाज आउने हुनाले छिमेकीमा ध्वनी प्रदुषण भयो भनि गुनासो आएको ।,03/26/2025,नगर प्रहरी बल,closed
181,Ward 2,32867,वडा नं. २ को उत्तरढोका मार्गको फुटपाथ विगत धेरै दिन देखि उक्किएर जिर्ण अवस्थामा छ । छिट्टै बनाउनु पर्यो भनि गुनासो आएको ।,03/25/2025,नगर प्रहरी बल,closed
182,Ward 10,32866,वडा नं. १० संसद भवन पछाडीको बाटोको फुटपाथमा  एकदमै धेरै बाइकहरु पार्किड्ड गरेको पाइएको हुनाले नियन्त्रण गरिदिनु भनि गुनासो आएको ।,03/25/2025,नगर प्रहरी बल,closed
183,Ward 14,32865,वडा नं. १४ कुमारी क्लब अगाडी को खोलाको छेउमा बालुवाको डिपोको किनारमा दिनहु जसो विजुलीको तारहरु बालेर समस्या भएको भनि गुनासो आएको ।,03/25/2025,नगर प्रहरी बल,closed
184,NoWard,32863,विजि मल चक्रपथ बानेश्वर लगायतका पेट्रोल पम्मका शौचालयहरुले पानी राखेनन् र सफा गरेनन् । अन्य  सार्वजनिक शौचालयहरुले पनि पैसा नलिइ छाड्दैनन्। तत्काल अनुगमन गरि कारवाही गर्नुपर्यो ।,03/25/2025,नगर प्रहरी बल,closed
185,NoWard,32859,नेपाली सयपत्री फूलको नगरमा बाजार पाएन तर भारत बाट कर छली ल्याएको फूल नगरभित्र को पसलमा छ्याप छ्याप पाइन्छ।यता तिर खै बालन सर,03/25/2025,नगर प्रहरी बल,closed
186,Ward 32,32858,कोटेश्वर चौक नजिक रहेको यात्रु प्रतिक्षालय अगाडीको के एल सी क्लबले रातभरि जस्तै म्युजिक बजाएर होहल्ला गर्छ । बस्नै गाह्रो भयो भनि गुनासो आएको ।,03/25/2025,नगर प्रहरी बल,closed
187,Ward 31,32847,"छिमेकी घर बनाउन लागेको छ र उसले फोहोर बालेको बालेई गर्छ। उसलाई पटक पटक भन्दा पनि उसले कहिले के कहिले के (जस्तो कि कागज मात्रै हो, अथवा काठ मात्रै हो, फोहोर ले लाँदैन) भन्दै फोहोर बालिरहन्छ। म ओडा नं 31 को स्थानीय हो। मैले ओडा मा complain file गर्नु पर्ने हो की कसरी further processing गर्ने त्यो विषयमा मलाई अलिकति clear गराइदिनु पर्यो sir। ",03/24/2025,नगर प्रहरी बल,closed
188,Ward 22,32843,पाको न्युरोडको दुवै साइडमा अनाधिकृत पार्किङ गरेर अस्त व्यस्त छ । उठाउनु पर्यो।,03/23/2025,नगर प्रहरी बल,closed
189,Ward 10,32837,"Ma Everest hotel najikaiko hostel ma basxu. yas hotel ko side bata charko aawaj chaubisai ghanta aayyara padna,sutna samasya vayo.kripaya yasko samadhan garnu paryo!",03/23/2025,नगर प्रहरी बल,closed
190,Ward 11,32833,नर्भिक अस्पतालमा आफ्नो निःशुल्क पार्किङ नभएको।। छेउमा २/३ ओटा महंगो शुल्क भएको पार्किङ रहेको छ। जुन आम नागरिकलाई महंगो शुल्क तिर्न परेको छ।। म बिरामीको कुरुवालाई महंगो शुल्क तिर्न परेको छ। के अस्पतालमा पार्किङको सुविधा हुनुपर्ने होइन?,03/22/2025,नगर प्रहरी बल,closed
191,Ward 24,32831,"राईट अफ वे भनेर सडकको फुटपाथ र पार्किङ्ग त हटाउनु भयो त्यसको लागि धन्यबाद तर भित्रि चोक र सार्वजनिक टहरामा पक्की भवन निर्माण गरी सञ्चालन भै रहेको पसलहरुमा केही पनि कारबाही भएन । त्यही समस्या को लागि यो गुनासो तपाईं समक्ष राख्दैछु न्यू रोड मा अब्यबस्थित तारहरु हटाउनु भयो तर चोखाछे गल्ली मा न तार नै ब्यबस्थित भयो तार अब्यबस्थित कै कारण केही दिन अघि  तिन ठाउँमा आग लागि समेत भयो त्याे तपाईं लाई जानकारी भयो नै होला  तर न तार नै ब्यबस्थित भयो न चोक र सार्वजनिक टहरा हरु मै कहीं कारबाही भयो । यो सबै २४ वडा का अधिकांश चोक  र सार्वजनिक टहरा हरु अतिक्रमण गरी पसल हरू  सञ्चालन मा आइरहेको छ । उदहारण के लागि अहिले  नाम चलेको ओपन मःमः पसल ,बारा पसल र चात पसल  पर्छ अरु पानि खाजा पसल हरु यसरी नै सञ्चालन मा  आइरहेको छ।माथि उल्लेखित मात्र होइन अरु पसल हरुले पनि  कुर्सी टेबुल पकाउने ग्यास स्टोभ चोक मै राखी सञ्चालन भइरहेको छ  भाडा माज्ने समेत पानि चोक नै अतिक्रमण गरी प्रयोग मा आइरहेको छ। बाहिर पसल हुँदा भीड बढी हुने कारणले चोरी र झगडा ह्वात्तै बढेको छ । यो समस्या २४ वडा मा भन्दा समेत पनि केही पनि कार्यबाही भएन सार्वजनिक तहरा समाते बेक्तिगत प्रयोजन को लागि निर्माण भइरहेको जानकारी  गराउँदा समेत कोही कारबाही गर्नु भएको छैन । पुरै चोक नै कब्जा गरी सञ्चालन भै रहेको पसल र सार्वजनिक टहरा अहिले  वेक्तिगत प्रयोजन को लागि पक्की भवन र चोक बाहिर रहेको पसल लाई कारबाही गर्नु हुन्छ भन्दै तपाईं समक्ष यो समस्या रहँदै छु । चाँडो भन्दा चाँडो यो समस्या को समाधान गर्नु होला । पसल मा आउने को भीड ले गर्दा चोरी र झगडा दिनौं जस्तै हुँदै आएको छ खुकुरी समेत प्रयोग गरी झगडा भई सकेको छ नेपाल प्रहरी मा समेत उजूरी परी सकेको छ तर प्रहरी ले  पसलहरु हटाउने कुनै चासो देखाएन ।सक्दो चाँडो यो समस्या को समाधान गर्नु हुन्छ भन्ने आशमा  तपाईं समक्ष यो गुनासाे प्रस्तुत गरेको छु ।
धन्यबाद।",03/21/2025,नगर प्रहरी बल,closed
192,Ward 2,32830,"कामपा २ वडा नारायणहिटी म्युजियमको उत्तर पट्टी Toyota को showroom नजिक रहेको मुना वर्कशपले पेटीमा राखेर बाइक बनाउने, वास गर्ने गर्नुहुन्छ । हटाउनुपर्यो ।",03/21/2025,नगर प्रहरी बल,closed
193,Ward 7,32829,कामपा ७ वडा चावहिल पशुपति वहुमुखी क्याम्पसको कोरियन भवनको वाहिरी भाग सार्वजनिक जग्गा बाटो मिचेर बनाइएको छ । अनुगमन गरी आवश्यक कारवाही गर्नुपर्यो ।,03/21/2025,नगर प्रहरी बल,closed
194,Ward 3,32826,कामपा ३ वडा राष्ट्रपति भवन नजिक रहेको अपार्टमेन्ट अगाडी बाटोमा ४/५ दिन देखि बा २ ख २२५४ नं. को गाडी पार्किङ गरेर आवतजावत गर्न साह्रै कठिनाई भएको छ भन्ने गुनासो आएको छ ।,03/21/2025,नगर प्रहरी बल,closed
195,Ward 25,32824,क्षेत्रपाटी देखि क्षेत्रपाटी पार्टी प्यालेस सम्म बाईक बनाउने पसल/ समोसा पसल/ बिर्यानी पसल तथा आदि पसलको अगाडि बाईकहरु सधैं पार्क हुने हुँदा सधैं जाम बढ्दै गएको छ। दुबै तर्फ बाईक पार्क हुन्छ। पहिले पनि Complaint गरेको केही भने। केही गर्दिनु पर्ने नत्र गुहार्ने ठाउँ पनि छैन।,03/21/2025,नगर प्रहरी बल,closed
196,Ward 24,32820,काठमाडौं महानगरको को नियम कानुन अनुसार बाटो मा पसल राख्न नपाउने भनी फुटपाथ को पसल त हटाउनु भयो। त्यसको लागि धेरै धन्यवाद छ तार यता २४ वडा मा चोक हरु अतिक्रमण गरी खाजा पसल हरु सञ्चालन भैरहेको जानकारी गराउन चाहन्छु। नियम अनुसार के चोक हरु मा पसल सञ्चालन गर्न पाउने हो या नै जानकारी गराई पाउँ । यही गुनासो पहिला पनि गरेको थिएँ तर कुनै जबाफ नै पाइन २४ वडा का धरै चोक चोक मा यस्ता पसल चोक नै अतिक्रमण गरी टेबुल कुर्सी पाउने चुलो समेत चोक मै राखी सञ्चालन भइरहेको छ  । खाना आउने हरुको भीड को कारण चोरी पनि निकै बढेको छ । अरु कोही पनि नगर प्रहरी मा गुनासो गर्न चाहँदैन छिमेकी सँग मनमुटाव  होला भनेर तर कोसै लागि पनि चोक अतिक्रमण भएको मनपरेको छैन । महानगर को नियम अनुसार के चोक अतिक्रमण गरी  पसल राख्न पाउने नियम छ वा नै  जानकारी गराई पाउँ भन्दै यो गुनासो राख्दै छु । चोरी र खाना आउने हरु को झैझगडा ले वाक्क भएको कारण तपाईं लाई को गुनासो राख्दै छु । खुकुरी समेत प्रयाेग गरेर झगडा भइसकेको छ राइट अफ वे भनेर फुटपाथ को पसल जस्तै चोक को पनि ब्यबस्थापन गर्नु पर्यो। पसल को कारण ले हिँडडुल गर्न नै गारो छ पसल को कारण ले हिँडडुल गर्न नै गारो परेको छ । यो समस्याको को चाँडो भन्दा चाँडो समाधान गर्नु हुन्छ भनी तपाईं समक्ष यो गुनासाे  राख्दै छु ।  कृपया मेरो  नाम  गोप्ये राखीदिनु होला। यो पटक त कहि एक्शन लिनु हुन्छ भन्ने आश को साथ यो गुनासो तपाईं समक्ष प्रस्तुत गरिएको छु । धन्यबाद। ,03/21/2025,नगर प्रहरी बल,closed
197,Ward 22,32818,वडा नं. २२ संकटा मन्दिरको अगाडी ४० जना जति जोगीहरुले पैसा मागेर अनि अरु के के भन्दै भक्तजनहरुलाई साह्रैनै दुख दिएको भनि गुनासो आएको ।,03/20/2025,नगर प्रहरी बल,closed
198,Ward 22,32817,वडा नं. २२ संकटा मन्दिरको अगाडी ४० जना जति जोगीहरुले पैसा मागेर अनि अरु के के भन्दै भक्तजनहरुलाई साह्रैनै दुख दिएको भनि गुनासो आएको ।,03/20/2025,नगर प्रहरी बल,closed
199,Ward 27,32815,वडा नं. २७ भोटाहिटि स्थित छिमेकीको कपडा पसल रहेको साथै आफ्नो पनि कपडा पसलनै रहेको तर छिमेकीले बारम्बार हो हल्ला गरेर कपडा वेच्दा ग्राहकहरुलाई भड्काएर साथै चर्को आवाज निकालि‍ अशान्ति फैलाएको भन्दै गुनासो आएको ।,03/20/2025,नगर प्रहरी बल,closed
200,Ward 4,32814,सुकेधारामा रहेको पेट्रोल पम्पमा पेट्रोल हाल्न जाँदा मट्टितेल मिसिएको पेट्रोल हालेको हुनाले स्कुटर नचलेको भनि गुनसाो आएको । कारबाही गर्न माग ,03/20/2025,नगर प्रहरी बल,closed
201,Ward 10,32807,Sankhamul prabhu bank ko galli ma illegal bike parking always and blocking road everyday ,03/20/2025,नगर प्रहरी बल,closed
202,Ward 29,32806,"म काठमाडौंमा एक होस्टेलमा (कुमारी मार्ग, आनामनगर)
बस्ने विद्यार्थी हुँ। मेरो होस्टेल नजिकै निर्माण कार्य चलिरहेको छ, र यो करिब ७-८ महिना देखि निरन्तर जारी छ। यस निर्माण कार्यमा प्रयोग हुने केही उपकरणहरूले (जस्तै फर्निचर बनाउने मेसिनहरू) धेरै शोर सृजना गर्छन्, जसले यस आवासीय क्षेत्रमा ध्वनि प्रदूषण फैलाएको छ। यसले मेरो मानसिक स्वास्थ्यमा गम्भीर असर पारेको छ, जसले गर्दा मेरो पढाइमा प्रभाव पर्नुका साथै मेरो समग्र स्वास्थ्यमा पनि नकारात्मक असर परेको छ। मलाई धेरै तनाव, एकाग्रताको अभाव, र निद्रामा समस्या भएको छ। यो समस्या लामो समयदेखि चलिरहेकोले मेरो पढाइ र दैनिक जीवनमा ठूलो असर परेको छ। यसले मेरो शैक्षिक प्रदर्शनमा पनि नकारात्मक असर गरेको छ। म आग्रह गर्दछु कि यस समस्याको समाधानका लागि तुरुन्त कदम चाल्नुहोस् ताकि हामी जस्ता विद्यार्थीहरूले शान्तिपूर्ण वातावरणमा पढ्न र बस्न सकौं। धन्यवाद।",03/20/2025,नगर प्रहरी बल,closed
203,Ward 16,32802,"There is a garment printing factory in Nayabazar near school. When they do printing it emits plastic smoke. the smoke was ejected by exterior fan and spread all over the neighbor including kindergarten school. it smells like burning plastic. I am reporting this because kids are there everyday and it can have long term lungs effect.  Please, request them to remove that printing garment somewhere where there are no society living.
Thank You.
- Bikash Raj Singh",03/20/2025,नगर प्रहरी बल,closed
204,Ward 4,32801,कामपा ४ वडा चण्डोल किर्तन मार्ग मा घर नं. ६३ रहेको नयाँ घर नक्सा पास नगरी बनाइरहेका छन् । तुरुन्त अनुगमन गरी आवश्यक कारवाही गर्नुपर्यो ।,03/19/2025,"नगर प्रहरी बल,सहरी ब्यबस्थापन  विभाग",closed
205,Ward 6,32796,"3 wheeler parked in no parking area or a road side 
At chabahil pipalbot ",03/18/2025,नगर प्रहरी बल,closed
206,Ward 11,32795,वडा नं. ११ भोटेवहाल स्थित मिर्गसिरा स्कुलमा दिनहुँ जसो माइकिड्ड गरेर चर्को ध्वनी प्रदुषण गरेको भनि गुनासो आएको ।,03/18/2025,नगर प्रहरी बल,closed
207,Ward 29,32793,वडा नं. २९ रातोपुलबाट ज्ञानेश्वर आउने बाटोतर्फ पोल पोलमा रेष्टुरेन्ट विक्रिमा छ भनी स्टीकर टासेँको हुनाले वातावरण प्रदुषित भयो भनी गुनासो आएको ।,03/18/2025,नगर प्रहरी बल,closed
208,Ward 10,32788,नयाँ बानेश्वरको युनिग्लोब कलेज अगाडी ब्लेसिङ होसटेलमा संचालक र घरबेटीको विवादले गर्दा होस्टेलमा बस्ने बिधार्थीहरुलाई धेरै तनाव र पढाइमा धेरै अशान्ति भएकोले त्यहाँ गएर समाधान गरिदिनु होला।,03/18/2025,नगर प्रहरी बल,closed
209,Ward 14,32786,कालिमाटि तरकारी बजार भित्रको नील बाराही स्कुलको चौरमा विगत १ महिनादेखि जथाभावी ठेलामा साइकलमा र चौरमा तरकारी र फलफुल बेच्ने गरेको हुनाले हटाउनु भनि गुनासो आएको ।,03/17/2025,नगर प्रहरी बल,closed
210,Ward 22,32784,वडा नं. २२ खिचापोखरी डि भी इ स्पट नजिकै धेरै मात्रामा बाइकहरु अनाधिकृत ढंगले पार्किङ गरेको भनि गुनासो आएको । ,03/17/2025,नगर प्रहरी बल,closed
211,Ward 29,32782,कामपा २९ वडा डिल्लीबजार पिपलबोट बाट घट्टेकुलो जाने बाटो पिच गरेको २ महिना भएको छैन तर घट्टेकुलो चोकमा एउटा घरधनीले उसको व्यक्तिगत प्रयोजनको लागि अस्ति भर्खर पिच गरेको बाटो खन्दै छ भन्ने गुनासो आएको छ ।,03/17/2025,नगर प्रहरी बल,closed
212,Ward 32,32781,"कामपा ३२ वडा तिनकुने राजा जनक मार्गमा रहेको अक्सिजन डिष्ट्रिब्युसन प्लान्टले ग्याँस loading, unloading गर्दा धेरै noise pollution भइराखेको छ । कहिले विहानै ६ बजे त कहिले बेलुकाको ९ बजे यस्तो loading unloading गर्दा हामीलाई साह्रै disturb हुने गरेको छ । ",03/17/2025,नगर प्रहरी बल,closed
213,Ward 10,32780,वडा नं. १० वुद्धनगर यति कलेजको अपजिटमा रहेको एउटा किराना पसललेे सामानहरु आफ्नो पसलमा मात्रै नराखेर हिड्ने बाटोमा समेत सामानहरु बोरामा बेच्न राखेको भन्दै गुनासो आएको ।,03/17/2025,नगर प्रहरी बल,closed
214,Ward 32,32775,"I am from Kathmandu-32, Tinkune. There is a oxygen distribution plant near Hyundai Car showroom which produces noise pollution during loading and unloading of gas cylinder. The timings of the loading is irregular and they load at early morning 6am and till night 8pm. The handling of gas cylinder is done with carelessness and fire accident may occur in middle of dense colonies. So I think having sensitive gas like oxygen in middle of dense housing is not good and also the noise pollution done is disturbing everyone in the society   ",03/17/2025,नगर प्रहरी बल,closed
215,Ward 15,32774,वडा नं. १५ डल्लु आवास नजिकैको सार्वजनिक स्थलमा प्राय जसो घरको फोहोरहरु ल्याएर त्यहाँ प्लास्टिक जलाइरहेको भएर नजिकैको छिमेकीको घरमा सास फेर्न गाह्रो भएको भनि गुनासो आएको ।,03/16/2025,नगर प्रहरी बल,closed
216,Ward 28,32773,वडा नं. २८  आर आर क्याम्पस अगाडीको फुटपाथमा विगत धेरै दिन देखि जथाभावी पार्किङ गरेको भन्दै गुनासो आएको ।,03/16/2025,नगर प्रहरी बल,closed
217,Ward 11,32768,त्रिपुरेश्वरमा रहेको रगंशाला अगाडी अवस्थित माया राम भोलाराम पेट्रोल पम्पमा पेट्रोल भर्दा सधैँ ११ लिटर जाने बाइकमा त्यो पेट्रोल पम्प मा चाहिँ १२ लिटर पेट्रोल गयो भनि पैसा लिएको जसमा सत्यता नरहेको भनि गुनासो आएको । अनुगमन गर्न माग ।,03/14/2025,नगर प्रहरी बल,closed
218,Ward 29,32766,डिल्लीबजार बसन्तेस्वर गल्लीका एक जना घर धनीले पुरानो घर भत्काइ निस्किएको सामाग्रीहरु त्यही गल्लीमा ल्याइ थुपार्नु भएकोले त्यहाँबाट आउन जान गाडी लान अवरोध भयो । यो हटाइदिन लाउनु होला । छिमेकीले भन्दा नटेर्नु भएको ।,03/14/2025,"नगर प्रहरी बल,वातावरण विभाग",closed
219,Ward 16,32764,ठमेल स्थित होटल डालिमा गार्ड्न के टि एम गेष्ट हाउस मा दिनहुँ जसो गित बजाएर चर्को ध्वनी प्रदुषण गरेको भन्दै गुनासो आएको । ,03/14/2025,नगर प्रहरी बल,closed
220,Ward 16,32763,सोह्रखुट्टे चौक मा मनमोहन कलेज नजिकै मौलिक किचेन भन्ने रेष्टुरेन्टमा वेलुका जहिलै ध्वनी प्रदुषण गरेर चर्को आवाजमा गित बजाउने गरेको भएर छिमेकमा डस्टर्व भयो भनि गुनासो आएको ।,03/13/2025,नगर प्रहरी बल,closed
221,Ward 4,32761,वडा नं. ४ धुम्वाराहि अपार्टमेन्ट को नजिकै प्रगति टोलमा भोइस अफ नेपालको अफिसबाट चर्को आवाजमा ध्वनी प्रदुषण गरेर असान्त बनाएको भन्दै गुनासो आएको ।,03/12/2025,नगर प्रहरी बल,closed
222,Ward 10,32760,"आज बिहान ७ बजे देखि प्रेसिडेन्सियल कलेज थापा गाउ वडा नम्बर १० मा चर्को आवाजमा गीतहरु बजाइ वातावरण अशान्त बनाएर छेउछाउका रोगि र बुढाबुढिलाइ खलल पुर्याइएको छ।
यसमाथि आवश्यक कारवाहि गरियोस",03/12/2025,नगर प्रहरी बल,closed
223,Ward 4,32756,"Car and mototcycle parking in street during day and night. 1.Ardhachakra Marg, KMC-4, Kathmandu.
2.Towards kirtan chowk from tundaldebi @KMC-4.",03/11/2025,नगर प्रहरी बल,closed
224,Ward 16,32755,वडा नं. १६ नवोदित स्कुल नजिकै द्याबु मार्गमा विगत ३ महिनादेखि एउटा समुहले टेन्ट लगाएर माइकिङ गर्दै ध्वनी प्रदुषण गरेर डिष्टर्व गरेको भनि गुनासो आएको ।,03/11/2025,नगर प्रहरी बल,closed
225,Ward 29,32751,वडा नं. २९ एसियन पव्लिक स्कुल नजिकै प्राय सधैँ जसो साइकल ठेलामा फलफुल र तरकारि बेच्ने गरेको हुँदा सर्वसाधरणलाई हिडडुल गर्न समस्या भएको भनि गुनासो आएको ।,03/10/2025,नगर प्रहरी बल,closed
226,Ward 26,32750,ठमेल एरियामा माग्नेले पटक पटक माग्नेले मागेर सतायो भनि गुनासो आएको ।,03/10/2025,नगर प्रहरी बल,closed
227,Ward 8,32748,कामपा ८ वडा जयबागेश्वरी गौशालाबाट पशुपति जाने बाटोमा रहेको पेट्रोल पम्पमा पेट्रोल हाल्दा कम दिने गरेको छ । २/३ पटक हाल्दा पनि उस्तै देखियो । तुरुन्तै अनुगमन गरी कारवाही गर्नुपर्यो ।,03/10/2025,नगर प्रहरी बल,closed
228,Ward 29,32746,वडा नं. २९ मैतिदेवी बाट डिल्लिबजार आउने बाटोमा विगत एक हप्ता देखि एक लेनमा पुरै बाइक र कार पार्किङ गरिरहेको हुनाले हटाइदिनु भनि गुनासो आएको ।,03/10/2025,नगर प्रहरी बल,closed
229,Ward 22,32744,वडा कार्यालय २२ को अपोजिटमै घर निर्माण कार्य भइरहेको र निर्माण सामाग्रीहरु बाटोमा राखेर छिमेकीको पसलमा हिडडुल गर्न समस्या भएको र तुरुन्तै हटाउनु भनि गुनासो आएको ।,03/10/2025,नगर प्रहरी बल,closed
230,Ward 23,32743,कामपा २३ वडा कार्यालय अगाडी बाटोमा निर्माण सामग्री राखेर बाटो नै ब्लक भएको छ भन्ने गुनासो आएको छ ।,03/10/2025,नगर प्रहरी बल,closed
231,Ward 13,32742,वडा नं. १३ वाफल चौक भित्र कुकुरले पटक पटक झम्टिन आएको र कुनै वनरले वास्ता नगरेकोले तुरुन्तै नियन्त्रणमा लिनु हुन अनुरोध छ ।,03/10/2025,"नगर प्रहरी बल,कृषि तथा पशुपक्षी विभाग",closed
232,Ward 15,32739,डल्लु आवास स्थित सिद्बार्थ चौकको उत्तर तर्फ र डल्लु आवास अफिसको सगैँ फोहोर ल्याएर थुपार्छ ।निगरानि राखिदिनु पर्यो ।,03/09/2025,नगर प्रहरी बल,closed
233,Ward 16,32737,नयाँबजार धारा गल्ली सोसल चोकमा सार्वजनिक बाटोमा अवरोध हुने गरी सेलरोटी पकाएर बेचेको छ । हटाउनुपर्यो ।,03/09/2025,नगर प्रहरी बल,closed
234,NoWard,32735,"लाजिम्पाट स्थित European Union बाट सरकारी धारा जाने तर्फ २ घर अगाडि दॅाया तर्फको घरमा प्राय सधैं पात पतिन्कर , प्लास्टिक कागजहरु बाल्नेवगरेको हुदा यस बाट हाम्रो घर परिवार , बालबच्चा लाई अॅाखा पिरो हुने , बृद्दा बुवा आमाहरुलाई सास फेर्न गाह्रो भएको हुदा यो कार्य बन्द गर्न आवश्यक प्रक्रिया बढाईदिनु होला । 
मनोज श्रेष्ठ 
लाजिम्पाट 
9851069745",03/09/2025,नगर प्रहरी बल,closed
235,NoWard,32734,म आज ईन्द्र चोक निर बाटो बनाउने सामान जताभावी राखेको कारण नराम्रो संग लडे हात काटेको छ मेरो मोबाइल पनि फुट्यो महानगरको कल मा फोन लागेन कमसेकम एत्रो बिकास को काम गरिसके पछि सामान जताभावी नरादिनुहोस हिड्ने बाटो थोरै भए पनि मिलाएर बाटो दिनुहोस हात त्यो सिसा जस्तो बलियो ढुंगा ले काट्यो शरिर नराम्रो संग पछारियो 🥲💔🥺,03/09/2025,नगर प्रहरी बल,closed
236,Ward 13,32733,"P72R+XQ2 Kathmandu
Yo location ma 3 4 din bho fohor baleko balai cha. Paila ni compalint gareko no response. Please take action.
Soltee hotel pachadi ganesh marga nira.",03/09/2025,नगर प्रहरी बल,closed
237,Ward 8,32732,गुहेश्वरी पछाडी हुँदै एयरपोर्ट जाने बाटोमा ठेलागाडा राखेर व्यापार गर्ने अनि निस्किएको फोहोर चाँहि बागमती करिडोरमा लगेर फाल्ने गर्छन् । अनुगमन गरी कारवाही गर्नुपर्यो ।,03/08/2025,"नगर प्रहरी बल,वातावरण विभाग",closed
