S.N,Ward No.,Case No.,Brief Description of the grievance,Date of Grievance,Department,Status
67,Ward 7,32682,वडा नं. ७ ओम हस्पिटल नजिकैको पार्कीङमा वर्षौदेखि १० वटा कुकुर बस्दै आएको तर उनीहरुको उचित हेरविचार तथा भ्याक्सिन लगायत वन्ध्याकरणको आवश्यक परेको हुनाले आवश्यक कारवाही गरिदिनु भनि गुनासो आएको ।,3/3/2025,कृषि तथा पशुपक्षी विभाग,closed
68,Ward 11,32641,सिहंदरवारभित्र वन मन्त्रालय अगाडी विगत धेरै दिन देखि छाडा कुकुरहरु तथा सानो पप्पीहरु धेरै भएको र उनीहरुलाई छालाको रोग समेत देखिएको हुनाले मरिरहेको अवस्था पनि भएको साथै गाडीले हानेर मार्ने पनि गरेको र मान्छेलाई टोक्ने गरेको हुँदा हेरिदिन माग ।,2/24/2025,कृषि तथा पशुपक्षी विभाग,closed
69,Ward 16,32637,"Balaju 16, यो बर्स भरी मात्र भुडी बोकेको पोथी कुकुर बाद्यता वस क्लिनिक पठाउद प्रती कुकुर २५ सय तिर्दै ,  सय वोटा बेसी भई सक्यो । स्थाइ बन्ध्याकरण केन्द्र बर्सै भर सेवा दिने खोली दिनु होस ,  कि प्राइवेट मा लगेको सडक कुकुर को भुक्तानी दिनुहोस ।  https://www.setopati.com/blog/345422",2/24/2025,कृषि तथा पशुपक्षी विभाग,closed
70,Ward 15,32634,वडा नं. १५ उदय मार्ग टोलमा कुकुरहरु धेरै फैलियो । बन्ध्याकरण गर्नु पर्यो ।,2/23/2025,कृषि तथा पशुपक्षी विभाग,closed
71,Ward 31,32617,वडा नं. ३१ स्थित आलोकनगरमा ४ वटा कुकुरहरु विगत ५ दिन देखी आक्रमक ढंगले प्रस्तुत भएर बाटोमा हिड्ने सर्वसाधरणलाई दुख दिएको भन्दै नियन्त्रण गरिदिनु भनि गुनासो आएको ।,2/20/2025,कृषि तथा पशुपक्षी विभाग,closed
72,NoWard,32593,रातोपुल नेर मैतिदेवी साइडबाट. जाँदा सेतोपुल झर्ने बाटोमा एउटा भुस्याहा कुकुरले धेरै जनालाई टोकिसक्यो । नियन्त्रणमा लिइदिनुपर्यो ।,2/17/2025,कृषि तथा पशुपक्षी विभाग,closed
73,Ward 13,24444,"कामपा १४ वडा ताहाचल खुसीबही महेन्द्र रत्न क्याम्पस नपुग्दै भित्रपट्टी २ वटा कालो कुकुरहरु ले मान्छेलाई झम्टने, टोक्ने गरेर साह्रे दुख दिइरहेको छ । नियन्त्रणमा लिइदिनुपर्यो ।",2/17/2025,कृषि तथा पशुपक्षी विभाग,closed
74,Ward 30,17669,सदभाव मार्ग जनता मार्गमा रहेको मासु पसल भएकोले त्यहाँ छाडा कुकुरहरु बसिरहने हुदाँ सर्वसाधरणलाई टोकेर हिड्न गाह्रो भएको भनि गुनासो आएको । ,2/13/2025,कृषि तथा पशुपक्षी विभाग,closed
75,Ward 15,17663,वडा नं. १५ स्वयम्बु भुइखेलको बारको पर्खाल मुनी आज धेरै वटा कुकुरले टोकेर विरालो घाइते अवस्थामा रहेको हुनाले उद्धार गरिदिनु हुन पहल।,2/13/2025,कृषि तथा पशुपक्षी विभाग,closed
76,Ward 32,17645,"कामपा ३२ वडा पेप्सिकोला सनराईज बैंक पछाडी ३/४ वटा भुस्याहा सडक कुकुरहरुले बाटामा हिँड्दा झम्टने, लखेट्ने, टोक्ने गरेर साह्रै दुख दिइरहेको छ । ति कुकुरहरुलाई नियन्त्रणमा लिइदिनुपर्यो ।",2/10/2025,कृषि तथा पशुपक्षी विभाग,closed
77,Ward 7,15203,कामपा ७ वडा कुमारीगाल इलिक्सर स्कुलको पछाडी रहेको खैरो कुकुरले मेरो बुवा सहित ५/६ जनालाई टोकिसक्यो । नियन्त्रणमा लिइदिनुपर्यो ।,2/5/2025,कृषि तथा पशुपक्षी विभाग,closed
78,Ward 15,15201,स्वयाँभु भगवानपाउ देखी वनस्थलि जाने वाटोमा रहेको ग्यारेज संगै कसैले कुकुर लाई विष दिएर छट पटाई रहेकोछ तुरुन्तै उद्दार गर्नु पर्यो,2/5/2025,कृषि तथा पशुपक्षी विभाग,closed
79,Ward 15,15200,कामपा १५ वडा स्वयम्भु भगवानपाउ सिद्धिचरण मार्ग न्यान्थलिङ गुम्बा नेर एउटा बहुलाहा कुकुरले ६/७ जना मान्छेलाई टोकिसक्यो । नियन्त्रणमा लिइदिनुपर्यो ।,2/5/2025,कृषि तथा पशुपक्षी विभाग,closed
80,Ward 6,15195,कामपा ६ वडा बौद्ध फूलबारी अरब बैंक बाट भित्र साम्बाल मार्ट नेर एउटा भुस्याहा कुकुरले ५/७ जनालाई टोकिसक्यो । तुरुन्त नियन्त्रणमा लिइदिनुपर्यो ।,2/5/2025,कृषि तथा पशुपक्षी विभाग,closed
81,Ward 32,15159,"कामपा ३२ वडा सुविधानगर तिनकुने Big Mart नेर ३/४ वटा भुस्याहा सडक कुकुरहरुले बाटामा हिँड्दा लखेट्ने, झम्टने, टोक्ने गरेर साह्रै दुख दिइरहेको छ । यि भुस्याहा कुकुरहरुलाई नियन्त्रणमा लिइदिनुपर्यो ।",2/4/2025,कृषि तथा पशुपक्षी विभाग,closed
82,NoWard,15108,"Dear Ward Members,           
We request all ward offices to establish a dedicated unit for the care and management of stray dogs/ animals within their respective wards. Stray dogs are not just homeless animals; they are part of the community. They are born and raised in the locality, and they deserve our love and care.

A few kind-hearted individuals in every ward are already engaged in taking care of stray animals. Therefore, we humbly request ward members to coordinate with these compassionate people and establish a unit in their respective wards to ensure proper care for strays. This includes providing food, nursing them during sickness, and offering shelter.

We trust that the ward members will take this matter seriously. May God bless us all for our kindness and compassion.

Thank you.  Sincerely , Rabi Sthapit.",1/30/2025,कृषि तथा पशुपक्षी विभाग,closed
83,Ward 15,15092,कामपा १५ वडा छाउनी संग्रहालय नेर एउटा सडक कुकुरले मान्छेहरुलाई टोकेर दुख दिइरहेको छ । कुकुरलाई नियन्त्रणमा लिइदिनुपर्यो ।,1/28/2025,कृषि तथा पशुपक्षी विभाग,closed
84,Ward 14,15069,कलंकी सिता पेट्रोल पम्प अगाडी एउटा गाइको बाछो घाइते अवस्थामा भएको हुँदा उद्धार गर्न माग ।,1/26/2025,कृषि तथा पशुपक्षी विभाग,closed
85,Ward 13,15066,कामपा १३ वडा कार्यालयको opposite गल्लीमा एउटा सडक कुकुर विरामी भएर हिँड्डुल गर्न नसक्ने अवस्थामा पुगेको छ । सिघ्र उपचार गरिदिनुपर्यो ।,1/26/2025,कृषि तथा पशुपक्षी विभाग,closed
86,Ward 6,15032,माहांकाल चुच्चेपाटी पुलिसविट छेउमा एउटा कुकुर गाडीले हानेर घाइते अवस्थामा छ । उद्धार गरिदिनु भनि गुनासो आएको।,1/22/2025,कृषि तथा पशुपक्षी विभाग,closed
87,Ward 15,15006,छाउनि विरेन्द्र हस्पिटलको गेटमा एउटा कुकुर घाइते अवस्थामा छ । तुरुन्तै उद्धार गरि उपचार गरिदिनु भनि गुनासो आएको ।,1/19/2025,कृषि तथा पशुपक्षी विभाग,closed
88,Ward 31,15001,वडा नं. ३१ पुरानो बानेश्वर काठमाडौं नेश्नल नजिकै विगत २ हप्तादेखि एउटा कुकुर एउटा जग्गाको कम्पाउन्ड वाल भित्र फसेको र एकदम कराएर डिस्टर्ब भएको भनि गुनासो आएको ।,1/18/2025,कृषि तथा पशुपक्षी विभाग,closed
89,Ward 22,14991,वडा नं. २२ खिचापोखरी भुल मार्ग धरहराको पछाडी पटीको गल्ली मा एउटा कुकुर घाइते अवस्थामा भेटिएको हुँदा तुून्तै उद्धार गरिदिनु भनि गुनासो आएको ।,1/17/2025,कृषि तथा पशुपक्षी विभाग,closed
90,Ward 31,14978,"कामपा ३१ वडा काठमाण्डु नेशनल स्कुल नेर एउटा घरपालुवा कुकुर जस्तो देखिने तर सडकमा छोडिराखेको कुकुरले बाटामा हिँड्ने मान्छेलाई झम्टने, लखेट्ने गर्छ । नियन्त्रणमा लिइदिनुपर्यो ।",1/15/2025,कृषि तथा पशुपक्षी विभाग,closed
91,Ward 15,14667,"कामपा १५ वडा डल्लु जनसेवा मार्ग आस्था स्कुल नेर एउटा सडक कुकुरले बाटामा हिँड्ने मान्छेहरु लाई झम्टने, लखेट्ने गरेर दुख दिइरहेको छ । कुकुरलाई नियन्त्रणमा लिइदिनुपर्यो । साथै कुकुरहरुलाई vaccine पनि लगाइदिनुपर्यो ।",1/12/2025,कृषि तथा पशुपक्षी विभाग,closed
92,Ward 10,14629,वडा नं. १० नारायणेश्वर मार्ग नजिकै १५ वटा कुकुर जम्मा हुने गरेको र वाटोमा आवतजावत गर्ने बच्चाहरुलाई टोक्ने गरेको पाइएकोले कुकुर नियन्त्रण गर्नु भनि गुनासो आएको ।,1/4/2025,कृषि तथा पशुपक्षी विभाग,closed
93,NoWard,14609,खरिबोट गौरीघाट समता हस्पिटल नेर एउटा सडक कुकुरले धेरै जनालाई टोकिसक्यो । कुकुरलाई नियन्त्रणमा लिइदिनुपर्यो ।,1/2/2025,कृषि तथा पशुपक्षी विभाग,closed
94,Ward 16,14607,कामपा १६ वडा प्रहरी चौकी नेर एउटा सडक कुकुर बिरामी भएर हिँड्डुल गर्न नसक्ने अवस्थामा पुगेको छ । छिटो उपचार गरिदिनुपर्यो ।,1/2/2025,कृषि तथा पशुपक्षी विभाग,closed
95,NoWard,12692,"विषय: सडक जनावरप्रतिको चिन्ता

म सडक जनावरहरूले मानिसका कारण झेल्नुपरेको दुःख र कष्टप्रति ध्यानाकर्षण गराउन यो सुझाव लेख्दैछु। धेरैजसो सडक जनावरहरू लापरवाह रूपमा गाडी चलाउँदा घाइते हुन्छन्, र केही मानिसहरू बिना कुनै कारण कुकुरहरूलाई डराउँछन् वा तिनीहरूलाई दुर्व्यवहार गर्छन्। जनावरहरूप्रति हुने यस्तो दुर्व्यवहार मन थामेर हेर्न सकिँदैन।

म तपाईंलाई सडक कुकुर र जनावरहरूको जनसंख्या नियन्त्रण गर्न मानवीय उपायहरू अपनाउन आग्रह गर्दछु। जस्तै, बन्ध्याकरण, जनचेतना अभियान, र आश्रय स्थलहरूको निर्माणले तिनीहरूको सुरक्षा र भलाइ सुनिश्चित गर्न धेरै टाढा पुग्न सक्छ।

यो महत्त्वपूर्ण विषयमा विचार गर्नुहुनेछ भन्ने आशा छ।",1/1/2025,कृषि तथा पशुपक्षी विभाग,closed
96,Ward 14,12686,कामपा १४ वडा सुनारगाउँमा एउटा कुकुर सिकिस्त विरामी भएर बसेको छ । तत्काल उपचार गर्नुपर्यो ।,12/31/2024,कृषि तथा पशुपक्षी विभाग,closed
97,Ward 13,12661,"कामपा १३ वडा लसता मार्ग सोल्टी होटल नेर भुस्याहा सडक कुकुरहरुले बाटोमा हिँड्दा झम्टिने,टोक्ने गर्छन् । नियन्त्रणमा लिइदिनुपर्यो ।",12/27/2024,कृषि तथा पशुपक्षी विभाग,closed
98,Ward 18,12658,Mero Ghar najikai eutai seto kukur chha jun time time ma sadak ma hidiraheko hunchha.Tyo street dog ho ki gharpaluwa ho tyo chai thaha bhayea Tara kehi bachha haru chai tyo sangai hunchha.Tyo kukur ekpatak mero Ghar bhitra pani chirna khojeko thiyo. Kailekai Ghar bata bahira niskida pani najik aaunga khojchha. Ma  aaja beluka Ghar farkada bato ma Malai dekhera bhukna thalyo.Ma aafno side bata hidiraheko thiye.Kukur road cross garera najik aayera bhukna thalyo.Ma aatiye ra pachadi farke.Tyetikai ma motorcycle aayo ra kukur bhukna rokiyo.Tara yesari kukur le jhamtida accident huna sakchha.Tyesai le tyo kukur lai mero tole bata hatayera anta karai rehabilitation gari paau.Tyo kukur ward no 18 Naya dallu KO pul najikai chha.,12/27/2024,कृषि तथा पशुपक्षी विभाग,closed
99,Ward 26,12641,सामाखुशि रिङरोड नजिकैको ग्लोबल स्कुल अगाडी एउटा नौलो फिमेल कुकुर आएर अन्य कुकुरहरु जम्मा भएर झगडा गर्न थाल्यो टोलै अशान्ती हुन थाल्यो सुत्न नी पाएन उक्त कुकुरलाई नियन्त्रण गरिदिनु भनि गुनासो आएको ।,12/24/2024,कृषि तथा पशुपक्षी विभाग,closed
100,Ward 15,12634,वडा नं. १५ स्थित स्वयम्वु गिता मन्दिर नजिकै एउटा फलफुल पसलमा बाँदर पल्किएर दिनहु ५० वटा जति बादँर त्यस पसलमा केरा खान आउने गरेको र साथ साथै स्कुले केटाकेटीलाई समेत झम्टने र टोक्ने गरेको भनि गुनासो आएको ।,12/24/2024,कृषि तथा पशुपक्षी विभाग,closed
101,Ward 13,12629,वडा नं. १३ माली पेट्रोल पम्प सगैँ सिद्बार्थ वैँक अगाडी ३- ४ वटा स्ट्रिट मा कुकुरहरु विमारी अवस्थामा फेला परेको हुँदा उद्धार गरिदिनु भन्ने गुनासो आएको ।,12/23/2024,कृषि तथा पशुपक्षी विभाग,closed
102,Ward 12,12628,टेकु रोडमा कुकुरलाई ठेला गाढाले ठक्कर दिएर खुट्टा क्र्याक भएकौछ उपचार गर्नु पर्ो ,12/23/2024,कृषि तथा पशुपक्षी विभाग,closed
103,Ward 2,12589,वडा नं. २ रेडिसन होटलको नजिकै इमेज च्यानलको आसपासमा एउटा खैरो रङको कुकुरले दिनहु जसो पैदलयात्रीलाई टोकेर दुख दिएको गुनासो आएको छ ।,12/18/2024,कृषि तथा पशुपक्षी विभाग,closed
104,Ward 32,12549,कोटेश्वर सिटी ओपी मार्गको मन्दिर सँगै बस्ने घाँटिमा सेतो भएको कालो कुकुरले धेरै जनालाई टोकिसक्यो । रातभरी कराएर बस्न  धेरै  गाह्रो भयो । नियन्त्रणमा लिइदिनुपर्यो ।,12/13/2024,कृषि तथा पशुपक्षी विभाग,closed
105,Ward 7,12538,कामपा ७ वडा कुमारीगाल खरिबोट नमुना गल्लीमा हिड्दै गर्दा एक्कासी झम्टेर  कुकुरले टोक्यो भन्ने गुनासो आएको छ ।,12/11/2024,कृषि तथा पशुपक्षी विभाग,closed
106,Ward 31,12515,पुरानो बानेश्वर भिमसेनगोलामा कुकुरले जथाभावी टोकेर मान्छेहरुलाई घाइते बनाएको छ । तुरुन्तै नियन्त्रण गर्नुपर्यो ।,12/9/2024,कृषि तथा पशुपक्षी विभाग,closed
107,Ward 12,12499,कामपा १२ वडा कृषि सामग्री को पछाडी गेटमा एउटा सडक कुकुर घाइते भएर ढलिराखेको छ । शरीरबाट पनि रगत बगिरहेको छ । छिटो उद्दार गरिदिनुपर्यो ।,12/6/2024,कृषि तथा पशुपक्षी विभाग,closed
108,Ward 6,12490,KL  टावर चुच्चे‍पाटि लुम्बिनि स्कुलकाे नजिक एउटा सडक कुकरले मानिसलाइ टाेकेर सारै दुख दिएकाे छ तुरुन्त नियन्त्रण गरिदिनुपर्याे भन्ने गुनासाे आएकाे छ । ,12/5/2024,कृषि तथा पशुपक्षी विभाग,closed
109,NoWard,12471,"ठमेल एरियामा पैदल यात्रुहरुलाई सडक कुकुरहरुले झम्टने, लखेट्ने, टोक्ने गरेर एकदमै दुख दिइरहेको छ । नियन्त्रत्ण गर्नुपर्यो ।",12/2/2024,कृषि तथा पशुपक्षी विभाग,closed
110,NoWard,12464,"बसन्तपुर हनुमान ढाेका डवलिमा १०/१५ वटा कुकुरले भरिया बाेकेकाे मान्छेलाइ झम्टने , टाेक्ने घुम्न आउने पर्यटकलाइ दुख दिने गरेर  सारै दुख भयाे नियन्त्रण गरिदिनुपर्याे । ",12/1/2024,कृषि तथा पशुपक्षी विभाग,closed
111,Ward 32,12459,कामपा ३२ वडा कोटेश्वर लागु औषध नियन्त्रण ब्युरो नेर एउटा कुकुर माथी जस्ताको छानो बाट लडेर गम्भिर घाइते भएको छ । सिघ्र उपचार गरिदिनुपर्यो ।,12/1/2024,कृषि तथा पशुपक्षी विभाग,closed
112,Ward 3,12428,कामपा ३ वडा महाराजगञ्ज चप्पल कारखाना चोक एभरेष्ट बैंक अगाडी एउटा बाँदरलाई करेन्ट लागेर हिँड्न नसक्ने भई लडिराखेको छ । उद्दार गरिदिनुपर्यो ।,11/26/2024,कृषि तथा पशुपक्षी विभाग,closed
113,NoWard,12415,१३ वडा कालिमाटि जनपथ मार्ग चाैकि निर २/३ वटा सडक कुकुरले बच्चाहरुलाइ टाेकेर गाराे भैराकाे छ तुरुन्त कुकुरकाे नियन्त्रण गरिदिनुपर्याे । ,11/25/2024,कृषि तथा पशुपक्षी विभाग,closed
114,NoWard,12414,नमस्कार। मैले गत महिना आवारा कुकुरहरूको समस्याको बारेमा गुनासो गरेको छु। मैले फलोअपको रूपमा फोन कल प्राप्त गरें तर समस्या समाधान भएको छैन। गौरीघाटदेखि कुमारीगाल जाने सडकमा काभ्रेली ब्रदर्स मासु पसल अगाडि आवारा कुकुरले पैदल यात्रुलाई भुकाइरहन्छन् । कहिलेकाहीँ मानिसहरूलाई पनि आक्रमण गर्छन्। त्यहाँ 4-5 कुकुरहरू छन् र कुकुरहरूले मानिसहरूलाई टोक्नु अघि तपाईंले समस्याको ख्याल राख्नु भयो भने राम्रो हुनेछ। मलाई आशा छ कि तपाईंले यो समस्या छिट्टै समाधान गर्नुहुनेछ।,11/25/2024,कृषि तथा पशुपक्षी विभाग,closed
115,NoWard,12405, गंगबु  बसपार्क भन्दा अलि माथिल्लाे गल्लिमा एउटा कुकुरकाे छाउराे लाइ पछाडि पट्टिकाे साइडमा घाउ नै घाउ आएर गाह्याे भइराकाे छ तुरुन्त उपचार गरी नियन्त्रण गरिदिनुपर्याे । ,11/23/2024,कृषि तथा पशुपक्षी विभाग,closed
116,Ward 13,12397,"सोल्टिमोड एरियामा २०/३० वटा कुकुरले group बनाएर हिँड्ने, सडकमा राखेको गाडी टोकेर बिगारिदिने जस्ता क्रियाकलाप गरेर आतंक सृजना गर्यो । नियन्त्रण गरिदिनुपर्यो ।",11/22/2024,कृषि तथा पशुपक्षी विभाग,closed
117,Ward 13,12381,13  वडा छाउनि डाेरमार्गमा एउटा बाैलाहा कुकुरले सबै मानिस र बच्चालाइ टाेकेर सारै दुख दियाे साथै कुकुरकाे मुखबाट र्याल पनि आइरहेकाे छ उपचार गरी कुकुरलाइ नियन्त्रण गरीदिनुपर्याे । ,11/20/2024,कृषि तथा पशुपक्षी विभाग,closed
118,Ward 26,12366,"कामपा २६ वडा ठमेलमा रहेको सञ्चयकोष कार्यालय नजिक भुस्याहा कुकुरहरुले मानिसहरु लाई झम्टने, टोक्ने गरिरहेका छन् । नियन्त्रणमा लिइदिनुपर्यो ।",11/19/2024,कृषि तथा पशुपक्षी विभाग,closed
119,Ward 16,12356, १६ नं वडा  बालाजु गंगाहल निर नयाँ कुकर आएर मानिसलाइ टाेकेर सारै दुख दियाे नियन्त्रण गरिदिनुपर्याे भन्ने गुनासाे आएकाे छ । ,11/17/2024,कृषि तथा पशुपक्षी विभाग,closed
120,NoWard,12354,टिचिङ हस्पिटल फार्मेसि निर एउटा कुकुर र्याल काडेर बिरामि भइ बसेकाे छ कुकुरकाे तुरुन्त उपचार गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ,11/17/2024,कृषि तथा पशुपक्षी विभाग,closed
121,Ward 23,12341,लगनकाे आजात आधारभुत विध्यालय देउखेल नजिक कुखुरा फाराम अगाडि एउटा कुकुरले बच्चाहरुलाइ टाेक्दै हिडेर आतंक मच्चायाे तुरुन्त नियन्त्रमा लिइ भ्याक्सिन लगाउनुपर्याे । ,11/15/2024,कृषि तथा पशुपक्षी विभाग,closed
122,Ward 29,12329,२९ वडा चंदन मार्ग प्रियाँका होस्टेल संगै एउटा सडक कुकुर घाईते र अर्को कुकुर को जीउभरी घाउ आएको छ शिघ्र उपचार गर्नु पर्यो ।,11/13/2024,कृषि तथा पशुपक्षी विभाग,closed
123,Ward 13,12323,१३ वडा मच्छेन्द्र पुजा मार्गमा एउटा सडक कुकुर वौलाएर दैनिक ३/४ जनालाई टोकीस्कयो नियन्त्रणमा लिए उपचार गर्नु पर्यो ।,11/11/2024,कृषि तथा पशुपक्षी विभाग,closed
124,Ward 10,12322,वानेश्वार थापागाउँ मा वाहीर वाट आएको एउटा ककुर ले मानिस लाई टोक्ने र झम्टने गरेर दुःख दीयो नियन्त्रण गर्नु पर्यो ,11/11/2024,कृषि तथा पशुपक्षी विभाग,closed
125,NoWard,12310,बालाजु गंगाहल चाेकमा कतैबाट आएकाे २ वटा सडक कुकुरकाे बन्धाकरण गर्नुकाे साथै आँखामा मासु पलाएकाे छ उपचार गर्नुपर्याे भन्ने गुनासाे आएकाे छ । ,11/11/2024,कृषि तथा पशुपक्षी विभाग,closed
126,Ward 16,12300,"१६ वडा बालाजु औधोगिक क्षेत्र भित्र रहेको २/३ वटा सडक कुकुरहरु ले बाइकमा गइरहेको मानिसलाई  झम्टने, लखेट्ने, दुख दिने गरिरहेका छन् । १/२ जनालाई त टोकि पनि सक्यो ।   सिघ्र नियन्त्रणमा लिइदिनुपर्यो ।     ",11/9/2024,कृषि तथा पशुपक्षी विभाग,closed
127,NoWard,12292,बसन्तपुर दरबार नजिक डबलीमा एउटा वृद्ध कुकुर बेवारिसे अवस्थामा रहेको छ । उद्दार गरिदिनुपर्यो ।,11/7/2024,कृषि तथा पशुपक्षी विभाग,closed
128,NoWard,12284, मिन भवन आलाेक नगर बाग्मति करीडाेर बाट महादेवस्थान जाने यलाेबिज अगाडि कुक्कर कफि र गाडि धुने ठाउँकाे भित्र एउटा बिरामि सडक कुकुर मेराे घर भित्र छिरेर बान्ता गरी झाेक्क्रेर बस्छ कुकुरकाे उद्धार गरी उपचार गर्नुपर्याे । ,11/6/2024,कृषि तथा पशुपक्षी विभाग,closed
129,Ward 14,12281,कामपा १४ वडा रविभवन सन्तोषी माताको मन्दिर नजिक दुई वटा सडक कुकुरहरु बिरामी भएर छटपटाइरहेका छन् । तुरुन्त उपचार गरिदिनुपर्यो ।,11/6/2024,कृषि तथा पशुपक्षी विभाग,closed
130,Ward 10,12261,१० वडा फन्टलाईन हस्पिटल अगाडि एउटा सडक कुकुर बूढाे भएर बाटाेमा बसिरहेकाे छ उठ्न पनि सक्दैन कुकुरकाे उद्धार गरिदिनुपर्याे । ,10/31/2024,कृषि तथा पशुपक्षी विभाग,closed
131,Ward 10,12256,१० वडा बानेश्वर बहुमुखि क्याम्पसकाे लाइनमा सडक कुकुर धेरै छन जसमा एउटा Femail  कुकुर छ र उसले धेरै कुकुर जम्मा गर्दछ जसले गर्दा धेरै मानिसलाइ टाेकि सक्याे ।कुकुलाइ भ्याक्सिन लगाइ नियन्त्रण गरिदिनुपर्याे भन्ने गुनासाे आएकाे छ । ,10/30/2024,कृषि तथा पशुपक्षी विभाग,closed
132,NoWard,12239,"When the midnight stars appear, we find a large number of street dogs. It creates a lot of noise and disturbs sleep. In case of an emergency, if we travel somewhere at midnight, they will strictly come and bite. So this is quite dangerous for us. 
 ",10/28/2024,कृषि तथा पशुपक्षी विभाग,closed
133,NoWard,12231,चावाहिल गणेशमन्दिर अगाडि एउटा सडक कुकुर कापिरहेकाे अवस्थामा रहेकाे छ तुरुन्त उपचार गरि व्यवसथापन गरिदिनुपर्याे भन्ने गुनासाे आएकाे छ । ,10/27/2024,कृषि तथा पशुपक्षी विभाग,closed
